domain,term,p_pos,p_neg,class
auto,bom,0.9763049450549448,0.0236950549450549,positive
auto,excelente,0.9948905109489052,0.0051094890510948,positive
auto,boa,0.9495238095238095,0.0504761904761904,positive
auto,ótimo,0.9931880108991824,0.0068119891008174,positive
auto,confortável,0.9616204690831556,0.0383795309168443,positive
auto,fácil,0.9671641791044776,0.0328358208955223,positive
auto,ótima,0.99009900990099,0.0099009900990099,positive
auto,rápido,0.9558303886925796,0.0441696113074204,positive
auto,rápida,0.9897435897435898,0.0102564102564102,positive
auto,bonito,0.9512820512820512,0.0487179487179487,positive
auto,melhor,0.9172932330827068,0.0827067669172932,positive
auto,perfeito,0.9943181818181818,0.0056818181818181,positive
auto,resistente,0.9573643410852714,0.0426356589147286,positive
auto,prático,0.9775784753363228,0.0224215246636771,positive
auto,pequeno,0.6630434782608695,0.3369565217391304,positive
auto,segura,0.820627802690583,0.179372197309417,positive
auto,ruim,0.2857142857142857,0.7142857142857143,negative
auto,frágil,0.4609375,0.5390625,negative
auto,simples,0.8055555555555556,0.1944444444444444,positive
auto,grande,0.8674698795180723,0.1325301204819277,positive
auto,lindo,0.9824561403508772,0.0175438596491228,positive
auto,maior,0.8083832335329342,0.1916167664670658,positive
auto,leve,0.9386792452830188,0.0613207547169811,positive
auto,original,0.9204545454545454,0.0795454545454545,positive
auto,satisfeito,0.9485714285714286,0.0514285714285714,positive
auto,mesmo,0.7347931873479319,0.2652068126520681,positive
auto,forte,0.9074074074074074,0.0925925925925926,positive
auto,otimo,0.9872611464968152,0.0127388535031847,positive
auto,certo,0.8706896551724138,0.1293103448275862,positive
auto,top,0.9902439024390244,0.0097560975609756,positive
auto,firme,0.8655462184873951,0.134453781512605,positive
auto,difícil,0.7586206896551724,0.2413793103448276,positive
auto,barato,0.8151260504201681,0.1848739495798319,positive
auto,fraco,0.2592592592592592,0.7407407407407407,negative
auto,igual,0.8823529411764706,0.1176470588235294,positive
auto,péssima,0.057471264367816,0.942528735632184,negative
auto,embalado,0.954248366013072,0.0457516339869281,positive
auto,útil,0.93,0.07,positive
auto,seguro,0.94,0.06,positive
auto,bonita,0.946236559139785,0.053763440860215,positive
auto,primeira,0.6534653465346535,0.3465346534653465,positive
auto,fixa,0.6538461538461539,0.3461538461538461,positive
auto,maravilhoso,1.0,0.0,positive
auto,único,0.9295774647887324,0.0704225352112676,positive
auto,eficiente,0.9,0.1,positive
auto,conforto,0.9039145907473308,0.096085409252669,positive
auto,linda,1.0,0.0,positive
auto,fino,0.6428571428571429,0.3571428571428571,positive
auto,certinho,0.9887640449438202,0.0112359550561797,positive
auto,péssimo,0.1,0.9,negative
auto,primeiro,0.3928571428571429,0.6071428571428571,negative
auto,diferente,0.5066666666666667,0.4933333333333334,positive
auto,alto,0.8117647058823529,0.188235294117647,positive
auto,baixa,0.3970588235294117,0.6029411764705882,negative
auto,pequena,0.8611111111111112,0.1388888888888889,positive
auto,alta,0.8441558441558441,0.1558441558441558,positive
auto,perfeita,0.9909365558912386,0.0090634441087613,positive
auto,justo,0.8727272727272727,0.1272727272727272,positive
auto,satisfeita,0.9620253164556962,0.0379746835443038,positive
auto,menor,0.7894736842105263,0.2105263157894736,positive
auto,única,0.9361702127659576,0.0638297872340425,positive
auto,baixo,0.7244897959183674,0.2755102040816326,positive
auto,duro,0.5942028985507246,0.4057971014492754,positive
auto,macio,1.0,0.0,positive
auto,mesma,0.6545454545454545,0.3454545454545454,positive
auto,super,0.9599609375,0.0400390625,positive
auto,desconfortável,0.5142857142857142,0.4857142857142857,positive
auto,funcional,0.9230769230769232,0.0769230769230769,positive
auto,bons,0.9090909090909092,0.0909090909090909,positive
auto,legal,0.8979591836734694,0.1020408163265306,positive
auto,apertado,0.8939393939393939,0.106060606060606,positive
auto,acabado,0.9361702127659576,0.0638297872340425,positive
auto,durável,0.925,0.075,positive
auto,ideal,0.981132075471698,0.0188679245283018,positive
auto,agradável,0.8913043478260869,0.108695652173913,positive
auto,bluetooth,0.7053571428571429,0.2946428571428571,positive
auto,razoável,0.8518518518518519,0.1481481481481481,positive
auto,novo,0.8108108108108109,0.1891891891891892,positive
auto,negativo,0.9,0.1,positive
auto,discreto,0.9534883720930232,0.0465116279069767,positive
auto,caro,0.6666666666666666,0.3333333333333333,positive
auto,acessível,0.9736842105263158,0.0263157894736842,positive
auto,normal,0.7647058823529411,0.2352941176470588,positive
auto,preciso,0.7142857142857143,0.2857142857142857,positive
auto,horrível,0.0612244897959183,0.9387755102040816,negative
auto,otima,0.9736842105263158,0.0263157894736842,positive
auto,confortavel,0.9574468085106383,0.0425531914893617,positive
auto,melhores,0.9130434782608696,0.0869565217391304,positive
auto,limpa,0.9365079365079364,0.0634920634920634,positive
auto,superior,0.8275862068965517,0.1724137931034483,positive
auto,macia,0.9545454545454546,0.0454545454545454,positive
auto,pratico,0.9787234042553192,0.0212765957446808,positive
auto,custo,0.9870828848223896,0.0129171151776103,positive
auto,limpo,0.9761904761904762,0.0238095238095238,positive
auto,facil,0.8972972972972973,0.1027027027027027,positive
auto,possível,0.7380952380952381,0.2619047619047619,positive
auto,maiores,0.8064516129032258,0.1935483870967742,positive
auto,interna,0.7631578947368421,0.2368421052631579,positive
auto,robusto,0.9487179487179488,0.0512820512820512,positive
auto,rapida,0.9253731343283582,0.0746268656716417,positive
auto,potente,0.96875,0.03125,positive
auto,total,0.6333333333333333,0.3666666666666665,positive
auto,fina,0.8676470588235294,0.1323529411764706,positive
auto,compatível,0.6,0.4,positive
auto,fraca,0.3,0.7,negative
auto,necessário,1.0,0.0,positive
auto,graves,0.84375,0.15625,positive
auto,rapido,0.9230769230769232,0.0769230769230769,positive
auto,fixo,0.6333333333333333,0.3666666666666665,positive
auto,geral,0.9857142857142858,0.0142857142857142,positive
auto,interno,0.8888888888888888,0.1111111111111111,positive
auto,feliz,0.4823529411764706,0.5176470588235295,negative
auto,robusta,0.96,0.04,positive
auto,condicionado,0.7096774193548387,0.2903225806451613,positive
auto,incrível,1.0,0.0,positive
auto,bacana,1.0,0.0,positive
auto,curto,0.8275862068965517,0.1724137931034483,positive
auto,benefício,0.9933862433862434,0.0066137566137566,positive
auto,pequenas,0.9545454545454546,0.0454545454545454,positive
auto,pequenos,0.8421052631578947,0.1578947368421052,positive
auto,compacto,1.0,0.0,positive
auto,importante,0.9,0.1,positive
auto,tranquilo,1.0,0.0,positive
auto,quente,0.8620689655172413,0.1379310344827586,positive
auto,boas,0.9565217391304348,0.0434782608695652,positive
auto,suficiente,0.6923076923076923,0.3076923076923077,positive
auto,comum,0.5238095238095238,0.4761904761904762,positive
auto,nova,0.7307692307692307,0.2692307692307692,positive
auto,grandes,0.7647058823529411,0.2352941176470588,positive
auto,azul,0.7368421052631579,0.2631578947368421,positive
auto,preto,0.6538461538461539,0.3461538461538461,positive
auto,impecável,0.95,0.05,positive
auto,segundo,0.4848484848484849,0.5151515151515151,negative
auto,confiável,0.85,0.15,positive
auto,antigo,0.9166666666666666,0.0833333333333333,positive
auto,segunda,0.7407407407407407,0.2592592592592592,positive
auto,claro,0.875,0.125,positive
auto,inferior,0.5,0.5,negative
auto,pior,0.125,0.875,negative
auto,longo,0.78125,0.21875,positive
auto,veicular,0.875,0.125,positive
auto,solto,0.4324324324324325,0.5675675675675675,negative
auto,diferentes,0.4210526315789473,0.5789473684210527,negative
auto,meio,0.8313253012048193,0.1686746987951807,positive
auto,satisfatório,1.0,0.0,positive
auto,perfeitas,1.0,0.0,positive
auto,exelente,1.0,0.0,positive
auto,adequado,0.9375,0.0625,positive
auto,sensível,0.8333333333333334,0.1666666666666666,positive
auto,longas,0.9375,0.0625,positive
auto,ótimos,1.0,0.0,positive
auto,complicado,1.0,0.0,positive
auto,feito,0.8618784530386742,0.1381215469613259,positive
auto,primeiros,0.8571428571428571,0.1428571428571428,positive
auto,interessante,0.9285714285714286,0.0714285714285714,positive
auto,espaçoso,1.0,0.0,positive
auto,superficiais,0.6,0.4,positive
auto,completa,0.7727272727272727,0.2272727272727273,positive
auto,grave,0.7647058823529411,0.2352941176470588,positive
auto,automotivo,0.7222222222222222,0.2777777777777778,positive
auto,estranho,0.6666666666666666,0.3333333333333333,positive
auto,longa,0.8857142857142857,0.1142857142857142,positive
auto,ótimas,0.9333333333333332,0.0666666666666666,positive
auto,impossível,0.5,0.5,negative
auto,médio,0.8181818181818182,0.1818181818181818,positive
auto,mau,0.4166666666666667,0.5833333333333334,negative
auto,básico,0.6818181818181818,0.3181818181818182,positive
auto,completo,0.7391304347826086,0.2608695652173913,positive
