domain,term,p_pos,p_neg,class
baby,bom,0.969775474956822,0.0302245250431778,positive
baby,excelente,0.9955611921369688,0.004438807863031,positive
baby,boa,0.9524128686327078,0.0475871313672922,positive
baby,ótimo,0.9895150720838796,0.0104849279161205,positive
baby,fácil,0.9637404580152672,0.0362595419847328,positive
baby,ótima,0.9920870425321464,0.0079129574678536,positive
baby,confortável,0.9517045454545454,0.0482954545454545,positive
baby,melhor,0.929936305732484,0.0700636942675159,positive
baby,resistente,0.9698795180722892,0.0301204819277108,positive
baby,rápido,0.9608610567514676,0.0391389432485322,positive
baby,rápida,0.9871244635193132,0.0128755364806866,positive
baby,maravilhoso,0.9947089947089948,0.0052910052910052,positive
baby,bonito,0.9435897435897436,0.0564102564102564,positive
baby,lindo,0.9732283464566928,0.026771653543307,positive
baby,macio,0.9621621621621622,0.0378378378378378,positive
baby,prático,0.9645776566757494,0.0354223433242506,positive
baby,pequeno,0.6893491124260355,0.3106508875739645,positive
baby,grande,0.8936781609195402,0.1063218390804597,positive
baby,suave,0.974910394265233,0.025089605734767,positive
baby,perfeito,0.9929411764705882,0.0070588235294117,positive
baby,maior,0.8892988929889298,0.1107011070110701,positive
baby,duro,0.6394230769230769,0.3605769230769231,positive
baby,macia,0.9596774193548387,0.0403225806451612,positive
baby,cheiroso,0.9743589743589745,0.0256410256410256,positive
baby,embalado,0.946875,0.053125,positive
baby,segura,0.8616504854368932,0.1383495145631068,positive
baby,ruim,0.4155844155844156,0.5844155844155844,negative
baby,útil,0.9345238095238096,0.0654761904761904,positive
baby,fino,0.5955882352941176,0.4044117647058824,positive
baby,frágil,0.5,0.5,negative
baby,seguro,0.9770114942528736,0.0229885057471264,positive
baby,otimo,0.9959514170040484,0.0040485829959514,positive
baby,legal,0.93006993006993,0.0699300699300699,positive
baby,igual,0.9518072289156626,0.0481927710843373,positive
baby,pequena,0.8082901554404145,0.1917098445595854,positive
baby,forte,0.875,0.125,positive
baby,leve,0.9362745098039216,0.0637254901960784,positive
baby,simples,0.8564814814814815,0.1435185185185185,positive
baby,ideal,0.9869281045751634,0.0130718954248366,positive
baby,linda,0.9859154929577464,0.0140845070422535,positive
baby,certinho,0.9866666666666668,0.0133333333333333,positive
baby,agradável,0.9916666666666668,0.0083333333333333,positive
baby,difícil,0.8245614035087719,0.175438596491228,positive
baby,perfeita,0.989547038327526,0.0104529616724738,positive
baby,certo,0.9304347826086956,0.0695652173913043,positive
baby,mesmo,0.7652811735941321,0.234718826405868,positive
baby,satisfeita,0.9666666666666668,0.0333333333333333,positive
baby,primeira,0.676923076923077,0.3230769230769231,positive
baby,menor,0.9072164948453608,0.0927835051546391,positive
baby,super,0.9652902453620588,0.0347097546379413,positive
baby,maravilhosa,0.986842105263158,0.0131578947368421,positive
baby,azul,0.7415730337078652,0.2584269662921348,positive
baby,péssima,0.0465116279069767,0.9534883720930232,negative
baby,barato,0.8191489361702128,0.1808510638297872,positive
baby,melhores,0.9017857142857144,0.0982142857142857,positive
baby,bonita,0.9255319148936172,0.0744680851063829,positive
baby,divertido,0.9895833333333334,0.0104166666666666,positive
baby,alto,0.8888888888888888,0.1111111111111111,positive
baby,única,0.9746835443037974,0.0253164556962025,positive
baby,único,0.9770114942528736,0.0229885057471264,positive
baby,mesma,0.8026315789473685,0.1973684210526316,positive
baby,baixo,0.8345323741007195,0.1654676258992805,positive
baby,pequenas,0.8970588235294118,0.1029411764705882,positive
baby,interessante,0.9333333333333332,0.0666666666666666,positive
baby,otima,1.0,0.0,positive
baby,péssimo,0.0821917808219178,0.9178082191780822,negative
baby,primeiro,0.8224299065420559,0.1775700934579439,positive
baby,conforto,0.935483870967742,0.064516129032258,positive
baby,gostoso,0.9857142857142858,0.0142857142857142,positive
baby,caro,0.7313432835820896,0.2686567164179104,positive
baby,grandes,0.921875,0.078125,positive
baby,firme,0.8918918918918919,0.1081081081081081,positive
baby,bonitinho,0.9420289855072465,0.0579710144927536,positive
baby,diferente,0.7209302325581395,0.2790697674418605,positive
baby,grosso,0.8928571428571429,0.1071428571428571,positive
baby,fofo,1.0,0.0,positive
baby,educativo,0.9848484848484848,0.0151515151515151,positive
baby,eficiente,0.9206349206349206,0.0793650793650793,positive
baby,fina,0.7894736842105263,0.2105263157894736,positive
baby,pratico,1.0,0.0,positive
baby,limpa,0.9361702127659576,0.0638297872340425,positive
baby,quente,0.8070175438596491,0.1929824561403508,positive
baby,horrível,0.1451612903225806,0.8548387096774194,negative
baby,durável,0.9183673469387756,0.0816326530612244,positive
baby,facil,0.7900763358778626,0.2099236641221374,positive
baby,presente,0.9055555555555556,0.0944444444444444,positive
baby,ótimas,0.98,0.02,positive
baby,ótimos,0.9782608695652174,0.0217391304347826,positive
baby,boas,0.925,0.075,positive
baby,fraco,0.4594594594594595,0.5405405405405406,negative
baby,custo,0.9744376278118608,0.025562372188139,positive
baby,incrível,0.9807692307692308,0.0192307692307692,positive
baby,desconfortável,0.4545454545454545,0.5454545454545454,negative
baby,funcional,0.9333333333333332,0.0666666666666666,positive
baby,acessível,1.0,0.0,positive
baby,colorido,0.9743589743589745,0.0256410256410256,positive
baby,inferior,0.303030303030303,0.696969696969697,negative
baby,fraca,0.4871794871794872,0.5128205128205128,negative
baby,bacana,0.9767441860465116,0.0232558139534883,positive
baby,impermeável,0.8823529411764706,0.1176470588235294,positive
baby,top,0.9818181818181818,0.0181818181818181,positive
baby,maiores,0.8571428571428571,0.1428571428571428,positive
baby,segunda,0.6923076923076923,0.3076923076923077,positive
baby,bons,0.9444444444444444,0.0555555555555555,positive
baby,lindas,1.0,0.0,positive
baby,normal,0.7966101694915254,0.2033898305084746,positive
baby,negativo,1.0,0.0,positive
baby,fofinho,1.0,0.0,positive
baby,pequenos,0.8571428571428571,0.1428571428571428,positive
baby,justo,0.9591836734693876,0.0408163265306122,positive
baby,sensível,0.9117647058823528,0.088235294117647,positive
baby,novo,0.7419354838709677,0.2580645161290322,positive
baby,adequado,0.8536585365853658,0.1463414634146341,positive
baby,fixa,0.75,0.25,positive
baby,grossa,0.9302325581395348,0.0697674418604651,positive
baby,satisfeito,0.9508196721311476,0.0491803278688524,positive
baby,certa,0.9629629629629628,0.037037037037037,positive
baby,alta,0.768,0.2319999999999999,positive
baby,primeiros,0.9411764705882352,0.0588235294117647,positive
baby,transparente,0.75,0.25,positive
baby,fininho,0.8214285714285714,0.1785714285714285,positive
baby,vivas,1.0,0.0,positive
baby,importante,0.9473684210526316,0.0526315789473684,positive
baby,necessário,0.8611111111111112,0.1388888888888889,positive
baby,preciso,0.7142857142857143,0.2857142857142857,positive
baby,original,0.7368421052631579,0.2631578947368421,positive
baby,amei,0.9961139896373056,0.0038860103626943,positive
baby,maleável,0.9642857142857144,0.0357142857142857,positive
baby,tranquilo,1.0,0.0,positive
baby,alimentar,0.9555555555555556,0.0444444444444444,positive
baby,nova,0.75,0.25,positive
baby,portátil,0.935483870967742,0.064516129032258,positive
baby,rapido,0.9565217391304348,0.0434782608695652,positive
baby,didático,1.0,0.0,positive
baby,flexível,0.8965517241379308,0.1034482758620689,positive
baby,dura,0.8894009216589862,0.1105990783410138,positive
baby,cheio,0.53125,0.46875,positive
baby,seca,0.90625,0.09375,positive
baby,rapida,0.9473684210526316,0.0526315789473684,positive
baby,acabado,0.9166666666666666,0.0833333333333333,positive
baby,perfeitas,1.0,0.0,positive
baby,feito,0.9066666666666666,0.0933333333333333,positive
baby,resistentes,0.9333333333333332,0.0666666666666666,positive
baby,baixa,0.282051282051282,0.7179487179487181,negative
baby,meio,0.8448275862068966,0.1551724137931034,positive
baby,possível,0.6530612244897959,0.3469387755102041,positive
baby,sozinho,0.75,0.25,positive
baby,delicado,0.9433962264150944,0.0566037735849056,positive
baby,grátis,0.9629629629629628,0.037037037037037,positive
baby,confortavel,1.0,0.0,positive
baby,impossível,0.4782608695652174,0.5217391304347826,negative
baby,excelentes,0.96,0.04,positive
baby,cheirosa,0.92,0.08,positive
baby,líquido,0.8983050847457628,0.1016949152542373,positive
baby,infantil,0.6818181818181818,0.3181818181818182,positive
baby,razoável,0.6470588235294118,0.3529411764705882,positive
baby,lindos,0.9722222222222222,0.0277777777777777,positive
baby,interativo,0.9565217391304348,0.0434782608695652,positive
baby,rígido,0.5833333333333334,0.4166666666666667,positive
baby,motora,1.0,0.0,positive
baby,delicioso,1.0,0.0,positive
baby,curto,0.6842105263157895,0.3157894736842105,positive
baby,perigoso,0.3809523809523809,0.6190476190476191,negative
baby,complicado,0.8636363636363636,0.1363636363636363,positive
baby,inteira,0.8461538461538461,0.1538461538461538,positive
baby,espaçoso,0.9545454545454546,0.0454545454545454,positive
baby,áspero,0.25,0.75,negative
baby,superior,0.9545454545454546,0.0454545454545454,positive
baby,seco,0.5416666666666666,0.4583333333333333,positive
baby,absorvente,0.8846153846153846,0.1153846153846154,positive
baby,macias,1.0,0.0,positive
baby,cheia,0.75,0.25,positive
baby,úmido,0.96,0.04,positive
baby,claro,0.8235294117647058,0.1764705882352941,positive
baby,eficaz,0.6956521739130435,0.3043478260869565,positive
baby,confortáveis,1.0,0.0,positive
baby,discreto,1.0,0.0,positive
baby,dupla,0.6818181818181818,0.3181818181818182,positive
baby,fininha,0.8421052631578947,0.1578947368421052,positive
baby,menores,0.8888888888888888,0.1111111111111111,positive
baby,pior,0.1363636363636363,0.8636363636363636,negative
baby,completo,0.8,0.2,positive
baby,segundo,0.6875,0.3125,positive
baby,curta,0.8947368421052632,0.1052631578947368,positive
baby,hidratante,0.9705882352941176,0.0294117647058823,positive
baby,barata,0.8260869565217391,0.1739130434782608,positive
baby,feliz,0.6282051282051282,0.3717948717948718,positive
baby,compacto,1.0,0.0,positive
baby,plástico,0.7282051282051282,0.2717948717948718,positive
baby,pesada,0.9047619047619048,0.0952380952380952,positive
baby,atrativo,0.9047619047619048,0.0952380952380952,positive
baby,materno,0.9411764705882352,0.0588235294117647,positive
baby,mole,0.625,0.375,positive
baby,lindinho,0.9285714285714286,0.0714285714285714,positive
baby,noturna,0.6,0.4,positive
baby,diferentes,0.8,0.2,positive
baby,sequinho,0.9565217391304348,0.0434782608695652,positive
baby,apaixonada,1.0,0.0,positive
baby,vermelha,0.7272727272727273,0.2727272727272727,positive
baby,suficiente,0.8604651162790697,0.1395348837209302,positive
baby,atópica,1.0,0.0,positive
baby,sensacional,1.0,0.0,positive
baby,estreita,0.8,0.2,positive
baby,versátil,1.0,0.0,positive
baby,comum,0.8571428571428571,0.1428571428571428,positive
baby,laterais,0.7647058823529411,0.2352941176470588,positive
baby,correta,0.5925925925925926,0.4074074074074074,positive
baby,interna,0.7333333333333333,0.2666666666666666,positive
baby,prática,0.98,0.02,positive
baby,finas,0.7857142857142857,0.2142857142857142,positive
baby,recém,0.9315068493150684,0.0684931506849315,positive
baby,benefício,0.9792207792207792,0.0207792207792207,positive
baby,antiga,0.4210526315789473,0.5789473684210527,negative
baby,próprio,0.7,0.3,positive
baby,larga,0.9523809523809524,0.0476190476190476,positive
baby,delicada,0.9565217391304348,0.0434782608695652,positive
baby,idêntico,0.9333333333333332,0.0666666666666666,positive
baby,pesado,0.7586206896551724,0.2413793103448276,positive
baby,sequinha,0.8666666666666667,0.1333333333333333,positive
baby,rosa,0.7052631578947368,0.2947368421052631,positive
baby,estranho,0.5833333333333334,0.4166666666666667,positive
baby,aberta,0.5517241379310345,0.4482758620689655,positive
baby,sanitário,0.6428571428571429,0.3571428571428571,positive
baby,plástica,0.6153846153846154,0.3846153846153846,positive
baby,fraquinho,0.4166666666666667,0.5833333333333334,negative
baby,geral,0.9571428571428572,0.0428571428571428,positive
baby,consistente,1.0,0.0,positive
baby,correto,0.85,0.15,positive
baby,antigo,0.7333333333333333,0.2666666666666666,positive
baby,igualzinho,1.0,0.0,positive
baby,obrigada,0.9791666666666666,0.0208333333333333,positive
baby,branco,0.7647058823529411,0.2352941176470588,positive
baby,exelente,1.0,0.0,positive
baby,úteis,1.0,0.0,positive
baby,apena,0.7880794701986755,0.2119205298013245,positive
baby,barulhento,0.9285714285714286,0.0714285714285714,positive
baby,verde,0.6818181818181818,0.3181818181818182,positive
baby,noturno,0.8333333333333334,0.1666666666666666,positive
baby,tradicional,0.8695652173913043,0.1304347826086956,positive
baby,macios,1.0,0.0,positive
baby,diário,1.0,0.0,positive
baby,fiel,1.0,0.0,positive
baby,colorida,0.9230769230769232,0.0769230769230769,positive
baby,bonitos,0.9166666666666666,0.0833333333333333,positive
baby,enorme,0.8125,0.1875,positive
baby,raso,0.9047619047619048,0.0952380952380952,positive
baby,interno,0.6363636363636364,0.3636363636363637,positive
baby,regular,0.6923076923076923,0.3076923076923077,positive
baby,inteiro,0.6153846153846154,0.3846153846153846,positive
baby,grudento,0.9090909090909092,0.0909090909090909,positive
baby,vibrantes,1.0,0.0,positive
baby,beneficio,0.9861111111111112,0.0138888888888888,positive
baby,enganosa,0.0833333333333333,0.9166666666666666,negative
baby,enjoativo,0.8,0.2,positive
baby,bonitas,1.0,0.0,positive
baby,essencial,0.9230769230769232,0.0769230769230769,positive
baby,positivo,0.7142857142857143,0.2857142857142857,positive
baby,finos,0.6666666666666666,0.3333333333333333,positive
baby,fragil,0.3888888888888889,0.6111111111111112,negative
baby,extra,0.8863636363636364,0.1136363636363636,positive
baby,dificil,0.7857142857142857,0.2142857142857142,positive
baby,elásticas,0.9090909090909092,0.0909090909090909,positive
baby,mal,0.6931818181818182,0.3068181818181818,positive
baby,espaçosa,1.0,0.0,positive
baby,eletrônica,0.6923076923076923,0.3076923076923077,positive
baby,liso,0.6666666666666666,0.3333333333333333,positive
baby,sozinha,0.7631578947368421,0.2368421052631579,positive
baby,escuro,0.8666666666666667,0.1333333333333333,positive
baby,confiável,0.9090909090909092,0.0909090909090909,positive
baby,sensíveis,1.0,0.0,positive
baby,fofinha,0.9166666666666666,0.0833333333333333,positive
baby,adequada,0.6666666666666666,0.3333333333333333,positive
baby,duras,0.9056603773584906,0.0943396226415094,positive
baby,triste,0.3,0.7,negative
baby,util,0.8715596330275229,0.128440366972477,positive
baby,bonitinha,0.6923076923076923,0.3076923076923077,positive
baby,suja,0.7083333333333334,0.2916666666666667,positive
baby,largo,0.8947368421052632,0.1052631578947368,positive
baby,semelhante,0.7777777777777778,0.2222222222222222,positive
