domain,term,p_pos,p_neg,class
cellphone,bom,0.9814278046162104,0.0185721953837895,positive
cellphone,excelente,0.995501085944772,0.004498914055228,positive
cellphone,ótimo,0.9936376210235132,0.0063623789764868,positive
cellphone,rápido,0.9809594460929772,0.0190405539070227,positive
cellphone,boa,0.9697147897677154,0.0302852102322846,positive
cellphone,ótima,0.9935979513444302,0.0064020486555697,positive
cellphone,melhor,0.9822975517890772,0.0177024482109227,positive
cellphone,rápida,0.9914320685434516,0.0085679314565483,positive
cellphone,perfeito,0.989212513484358,0.0107874865156418,positive
cellphone,bonito,0.9840891010342084,0.0159108989657915,positive
cellphone,top,0.9936,0.0064,positive
cellphone,fiscal,0.8646153846153846,0.1353846153846153,positive
cellphone,maravilhoso,0.9940968122786304,0.0059031877213695,positive
cellphone,satisfeito,0.9805615550755942,0.019438444924406,positive
cellphone,embalado,0.9975708502024292,0.0024291497975708,positive
cellphone,lindo,0.9883430474604497,0.0116569525395503,positive
cellphone,incrível,0.9916083916083916,0.0083916083916083,positive
cellphone,certinho,0.99442119944212,0.00557880055788,positive
cellphone,otimo,0.9936908517350158,0.0063091482649842,positive
cellphone,satisfeita,0.9782270606531882,0.0217729393468118,positive
cellphone,original,0.9152542372881356,0.0847457627118644,positive
cellphone,fácil,0.9797297297297296,0.0202702702702702,positive
cellphone,grande,0.9735099337748344,0.0264900662251655,positive
cellphone,boas,0.978102189781022,0.0218978102189781,positive
cellphone,certo,0.967741935483871,0.032258064516129,positive
cellphone,mesmo,0.8802477632484514,0.1197522367515485,positive
cellphone,único,0.9767441860465116,0.0232558139534883,positive
cellphone,brasileiro,0.9108108108108108,0.0891891891891892,positive
cellphone,atencioso,0.9972222222222222,0.0027777777777777,positive
cellphone,sensacional,1.0,0.0,positive
cellphone,única,0.9659863945578232,0.0340136054421768,positive
cellphone,global,0.8803680981595092,0.1196319018404908,positive
cellphone,ótimas,0.9828178694158076,0.0171821305841924,positive
cellphone,perfeita,0.9937694704049844,0.0062305295950155,positive
cellphone,ruim,0.7,0.3,positive
cellphone,inteiro,0.9787234042553192,0.0212765957446808,positive
cellphone,rapido,0.9736842105263158,0.0263157894736842,positive
cellphone,perfeitas,0.99625468164794,0.0037453183520599,positive
cellphone,novo,0.8052325581395349,0.1947674418604651,positive
cellphone,melhores,0.9693251533742332,0.0306748466257668,positive
cellphone,feliz,0.8401826484018264,0.1598173515981735,positive
cellphone,super,0.9876968503937008,0.0123031496062992,positive
cellphone,simples,0.8905472636815921,0.1094527363184079,positive
cellphone,primeiro,0.8666666666666667,0.1333333333333333,positive
cellphone,maravilhosa,0.9962406015037594,0.0037593984962406,positive
cellphone,excelentes,0.9954128440366972,0.0045871559633027,positive
cellphone,alto,0.9375,0.0625,positive
cellphone,barato,0.95,0.05,positive
cellphone,frontal,0.9440298507462688,0.0559701492537313,positive
cellphone,intermediário,1.0,0.0,positive
cellphone,alta,0.9565217391304348,0.0434782608695652,positive
cellphone,negativo,0.9775784753363228,0.0224215246636771,positive
cellphone,digital,0.9201680672268908,0.0798319327731092,positive
cellphone,facial,0.9786096256684492,0.0213903743315508,positive
cellphone,geral,0.9720670391061452,0.0279329608938547,positive
cellphone,sociais,0.9447852760736196,0.0552147239263803,positive
cellphone,primeira,0.8700787401574803,0.1299212598425196,positive
cellphone,dura,0.9716296928327643,0.0283703071672354,positive
cellphone,eficiente,0.9886363636363636,0.0113636363636363,positive
cellphone,normal,0.9273356401384084,0.0726643598615917,positive
cellphone,impecável,0.98125,0.01875,positive
