domain,term,p_pos,p_neg,class
food,bom,0.9707088459285296,0.0292911540714704,positive
food,excelente,0.9942652329749104,0.0057347670250896,positive
food,ótimo,0.992651561543172,0.0073484384568279,positive
food,melhor,0.935483870967742,0.064516129032258,positive
food,saboroso,0.9769021739130436,0.0230978260869565,positive
food,gostoso,0.9777486910994764,0.0222513089005235,positive
food,boa,0.939873417721519,0.060126582278481,positive
food,rápida,0.9835680751173708,0.0164319248826291,positive
food,rápido,0.9857142857142858,0.0142857142857142,positive
food,ótima,0.9927360774818402,0.0072639225181598,positive
food,maravilhoso,0.9766233766233766,0.0233766233766233,positive
food,forte,0.8575949367088608,0.1424050632911392,positive
food,doce,0.8660287081339713,0.1339712918660287,positive
food,embalado,0.9472789115646258,0.0527210884353741,positive
food,delicioso,0.9973614775725592,0.0026385224274406,positive
food,suave,0.9632653061224492,0.036734693877551,positive
food,ruim,0.2767857142857143,0.7232142857142857,negative
food,perfeito,0.988826815642458,0.0111731843575419,positive
food,melhores,0.9198473282442748,0.0801526717557251,positive
food,caro,0.8768472906403941,0.1231527093596059,positive
food,agradável,0.8817204301075269,0.1182795698924731,positive
food,original,0.8037383177570093,0.1962616822429906,positive
food,diferente,0.7119565217391305,0.2880434782608696,positive
food,fraco,0.4957983193277311,0.5042016806722689,negative
food,mesmo,0.7872860635696821,0.2127139364303178,positive
food,saborosa,0.987878787878788,0.0121212121212121,positive
food,crocante,0.9597701149425288,0.0402298850574712,positive
food,barato,0.8862275449101796,0.1137724550898203,positive
food,gostosa,0.9632352941176472,0.0367647058823529,positive
food,certinho,0.9642857142857144,0.0357142857142857,positive
food,leve,0.9497716894977168,0.0502283105022831,positive
food,marcante,0.934959349593496,0.065040650406504,positive
food,puro,0.7410714285714286,0.2589285714285714,positive
food,certo,0.905982905982906,0.094017094017094,positive
food,encorpado,0.9609375,0.0390625,positive
food,intenso,0.9375,0.0625,positive
food,saudável,0.93,0.07,positive
food,maior,0.7857142857142857,0.2142857142857142,positive
food,otimo,0.9806451612903224,0.0193548387096774,positive
food,enjoativo,0.8,0.2,positive
food,amargo,0.7533333333333333,0.2466666666666667,positive
food,cremoso,0.9318181818181818,0.0681818181818181,positive
food,normal,0.8203125,0.1796875,positive
food,incrível,0.9787234042553192,0.0212765957446808,positive
food,horrível,0.0686274509803921,0.931372549019608,negative
food,comum,0.6025641025641025,0.3974358974358974,positive
food,artificial,0.2857142857142857,0.7142857142857143,negative
food,fácil,0.9518072289156626,0.0481927710843373,positive
food,mesma,0.6865671641791045,0.3134328358208955,positive
food,igual,0.9278350515463918,0.0721649484536082,positive
food,grande,0.8133333333333334,0.1866666666666666,positive
food,pequeno,0.8051948051948052,0.1948051948051948,positive
food,primeira,0.7906976744186046,0.2093023255813953,positive
food,perfeita,0.9580838323353292,0.0419161676646706,positive
food,único,0.9846153846153848,0.0153846153846153,positive
food,tradicional,0.8817204301075269,0.1182795698924731,positive
food,satisfeito,0.9411764705882352,0.0588235294117647,positive
food,alto,0.8765432098765432,0.1234567901234567,positive
food,especial,0.8804347826086957,0.1195652173913043,positive
