domain,term,p_pos,p_neg,class
books,bom,0.9807863031071656,0.0192136968928344,positive
books,excelente,0.9940270648623424,0.0059729351376574,positive
books,perfeito,0.9934167215273206,0.0065832784726793,positive
books,ótimo,0.9883613142445152,0.0116386857554846,positive
books,maravilhoso,0.9935988620199148,0.0064011379800853,positive
books,boa,0.9577580877807542,0.0422419122192458,positive
books,rápida,0.9891227240482384,0.0108772759517616,positive
books,fácil,0.9892122428499748,0.010787757150025,positive
books,incrível,0.9925872788139646,0.0074127211860353,positive
books,rápido,0.9889671361502348,0.0110328638497652,positive
books,interessante,0.9403136064744564,0.0596863935255437,positive
books,ótima,0.9927585426567096,0.0072414573432903,positive
books,lindo,0.989646672144618,0.010353327855382,positive
books,melhor,0.9676220806794056,0.0323779193205944,positive
books,simples,0.9777959183673468,0.022204081632653,positive
books,embalado,0.9879204168640456,0.0120795831359545,positive
books,linda,0.9863877822045152,0.0136122177954847,positive
books,grande,0.951647564469914,0.0483524355300859,positive
books,melhores,0.9714285714285714,0.0285714285714285,positive
books,leve,0.9887323943661972,0.0112676056338028,positive
books,mesmo,0.929277566539924,0.070722433460076,positive
books,primeiro,0.9257934734018776,0.0742065265981224,positive
books,envolvente,0.9926303854875284,0.0073696145124716,positive
books,dura,0.9635885885885884,0.0364114114114114,positive
books,maravilhosa,0.9902514109799896,0.0097485890200102,positive
books,diferente,0.9524061343204654,0.0475938656795346,positive
books,bonito,0.9589422407794016,0.0410577592205984,positive
books,sensacional,0.98828125,0.01171875,positive
books,importante,0.9780051150895142,0.0219948849104859,positive
books,agradável,0.9721964782205746,0.0278035217794253,positive
books,primeira,0.914518317503392,0.0854816824966078,positive
books,impecável,0.9833169774288518,0.0166830225711481,positive
books,perfeita,0.9889643463497452,0.0110356536502546,positive
books,atual,0.9757316202712348,0.0242683797287651,positive
books,legal,0.9585987261146496,0.0414012738853503,positive
books,certinho,0.9898580121703854,0.0101419878296146,positive
books,boas,0.9618138424821002,0.0381861575178997,positive
books,perfeitas,0.992248062015504,0.0077519379844961,positive
