domain,term,p_pos,p_neg,class
fashion,bom,0.9408381265406738,0.0591618734593262,positive
fashion,boa,0.9173588039867108,0.082641196013289,positive
fashion,confortável,0.9466942148760332,0.0533057851239669,positive
fashion,excelente,0.989501312335958,0.0104986876640419,positive
fashion,ótimo,0.9930216329378926,0.0069783670621074,positive
fashion,ótima,0.9797047970479704,0.0202952029520295,positive
fashion,pequeno,0.4625,0.5375,negative
fashion,maior,0.8079999999999999,0.192,positive
fashion,pequena,0.4881889763779528,0.5118110236220472,negative
fashion,menor,0.6165254237288136,0.3834745762711864,positive
fashion,perfeito,0.978125,0.021875,positive
fashion,grande,0.7019498607242339,0.2980501392757659,positive
fashion,confortáveis,0.946153846153846,0.0538461538461538,positive
fashion,ruim,0.1014925373134328,0.8985074626865671,negative
fashion,diferente,0.2903846153846154,0.7096153846153846,negative
fashion,péssima,0.0092592592592592,0.9907407407407408,negative
fashion,boas,0.9389830508474576,0.0610169491525423,positive
fashion,rápida,0.9805825242718448,0.0194174757281553,positive
fashion,melhor,0.8111111111111111,0.1888888888888888,positive
fashion,transparente,0.5746268656716418,0.4253731343283582,positive
fashion,fino,0.5,0.5,negative
fashion,certo,0.8678571428571429,0.1321428571428571,positive
fashion,diferentes,0.2760180995475113,0.7239819004524887,negative
fashion,rápido,0.9463087248322148,0.0536912751677852,positive
fashion,mesmo,0.6079365079365079,0.3920634920634921,positive
fashion,primeira,0.3304721030042918,0.6695278969957081,negative
fashion,bonita,0.8975,0.1025,positive
fashion,bonito,0.8873873873873874,0.1126126126126126,positive
fashion,bonitas,0.8722222222222222,0.1277777777777777,positive
fashion,macio,0.9356435643564356,0.0643564356435643,positive
fashion,adequado,0.8864864864864865,0.1135135135135135,positive
fashion,justo,0.8909090909090909,0.109090909090909,positive
fashion,apertado,0.7188940092165899,0.2811059907834101,positive
fashion,grosso,0.8561643835616438,0.1438356164383561,positive
fashion,baixa,0.1299435028248587,0.8700564971751412,negative
fashion,preta,0.6035714285714285,0.3964285714285714,positive
fashion,justa,0.8188976377952756,0.1811023622047244,positive
fashion,perfeita,0.9847619047619048,0.0152380952380952,positive
fashion,pequenas,0.330188679245283,0.6698113207547169,negative
fashion,curto,0.6902654867256637,0.3097345132743363,positive
fashion,ótimas,0.943661971830986,0.056338028169014,positive
fashion,quente,0.7162162162162162,0.2837837837837837,positive
fashion,simples,0.6385542168674698,0.3614457831325301,positive
fashion,cinza,0.5462184873949579,0.453781512605042,positive
fashion,certinho,0.975,0.025,positive
fashion,resistente,0.9338235294117648,0.0661764705882353,positive
fashion,primeiro,0.1637931034482758,0.8362068965517241,negative
fashion,algodão,0.584192439862543,0.415807560137457,positive
fashion,mesma,0.4754098360655738,0.5245901639344263,negative
fashion,leve,0.9391304347826088,0.0608695652173913,positive
fashion,fina,0.6341463414634146,0.3658536585365853,positive
fashion,azul,0.5486725663716814,0.4513274336283186,positive
fashion,otimo,1.0,0.0,positive
fashion,igual,0.7833333333333333,0.2166666666666666,positive
fashion,ideal,0.9710144927536232,0.0289855072463768,positive
fashion,satisfeito,0.9290322580645162,0.0709677419354838,positive
fashion,correto,0.7217391304347827,0.2782608695652174,positive
fashion,curta,0.6194690265486725,0.3805309734513274,positive
fashion,inferior,0.1632653061224489,0.8367346938775511,negative
fashion,branca,0.4942528735632184,0.5057471264367817,negative
fashion,linda,0.9565217391304348,0.0434782608695652,positive
fashion,péssimo,0.0088495575221238,0.991150442477876,negative
fashion,quentinho,0.9708737864077672,0.029126213592233,positive
fashion,lindas,0.9754098360655736,0.0245901639344262,positive
fashion,confortavel,0.9758064516129032,0.0241935483870967,positive
fashion,alta,0.6425120772946861,0.3574879227053139,positive
fashion,frágil,0.4461538461538462,0.5538461538461539,negative
fashion,razoável,0.6122448979591837,0.3877551020408163,positive
fashion,maravilhoso,0.9891304347826086,0.0108695652173913,positive
fashion,satisfeita,0.7954545454545454,0.2045454545454545,positive
fashion,grossa,0.8095238095238095,0.1904761904761904,positive
fashion,única,0.8115942028985508,0.1884057971014492,positive
fashion,alto,0.6632653061224489,0.336734693877551,positive
fashion,único,0.8205128205128205,0.1794871794871795,positive
fashion,elástico,0.6813725490196079,0.3186274509803921,positive
fashion,menores,0.5573770491803278,0.4426229508196721,positive
fashion,horrível,0.0224719101123595,0.9775280898876404,negative
fashion,normal,0.7530120481927711,0.2469879518072289,positive
fashion,otima,1.0,0.0,positive
fashion,desconfortável,0.2028985507246377,0.7971014492753623,negative
fashion,apertada,0.6227272727272727,0.3772727272727273,positive
fashion,maiores,0.75,0.25,positive
fashion,brancas,0.4029850746268657,0.5970149253731343,negative
fashion,segunda,0.5303030303030303,0.4696969696969697,positive
fashion,larga,0.7125,0.2875,positive
fashion,fraco,0.1272727272727272,0.8727272727272727,negative
fashion,pequenos,0.5333333333333333,0.4666666666666667,positive
fashion,agradável,0.8939393939393939,0.106060606060606,positive
fashion,melhores,0.7123287671232876,0.2876712328767123,positive
fashion,macia,0.9509803921568628,0.0490196078431372,positive
fashion,bons,0.912280701754386,0.087719298245614,positive
fashion,gostoso,0.9016393442622952,0.0983606557377049,positive
fashion,fácil,0.7818181818181819,0.2181818181818181,positive
fashion,infantil,0.06,0.94,negative
fashion,perfeitas,0.986842105263158,0.0131578947368421,positive
fashion,lindo,0.9930555555555556,0.0069444444444444,positive
fashion,largo,0.8,0.2,positive
fashion,legal,0.8035714285714286,0.1964285714285714,positive
fashion,barato,0.6166666666666667,0.3833333333333333,positive
fashion,firme,0.875,0.125,positive
fashion,excelentes,1.0,0.0,positive
fashion,presente,0.7912621359223301,0.2087378640776699,positive
fashion,embalado,0.95,0.05,positive
fashion,durável,1.0,0.0,positive
fashion,iguais,0.4146341463414634,0.5853658536585366,negative
fashion,preto,0.6041666666666666,0.3958333333333333,positive
fashion,pretas,0.5375,0.4625,positive
fashion,claro,0.5416666666666666,0.4583333333333333,positive
fashion,grandes,0.8285714285714286,0.1714285714285714,positive
fashion,baixo,0.6243386243386243,0.3756613756613757,positive
fashion,caro,0.3571428571428571,0.6428571428571429,negative
fashion,original,0.625,0.375,positive
fashion,fiel,0.9777777777777776,0.0222222222222222,positive
fashion,médio,0.631578947368421,0.3684210526315789,positive
fashion,certa,0.825,0.175,positive
fashion,top,0.8527607361963192,0.147239263803681,positive
fashion,forte,0.8367346938775511,0.1632653061224489,positive
fashion,geral,0.9333333333333332,0.0666666666666666,positive
fashion,enganosa,0.0256410256410256,0.9743589743589745,negative
fashion,compatível,0.575,0.425,positive
fashion,branco,0.5106382978723404,0.4893617021276596,positive
fashion,quentinha,1.0,0.0,positive
fashion,segura,0.7058823529411765,0.2941176470588235,positive
fashion,justas,0.9,0.1,positive
fashion,escuro,0.5588235294117647,0.4411764705882353,positive
fashion,grossas,0.84375,0.15625,positive
fashion,acabado,0.7916666666666666,0.2083333333333333,positive
fashion,pior,0.0851063829787234,0.9148936170212766,negative
fashion,superior,0.6296296296296297,0.3703703703703704,positive
fashion,vermelha,0.5348837209302325,0.4651162790697674,positive
fashion,possível,0.3555555555555556,0.6444444444444445,negative
fashion,difícil,0.88,0.12,positive
fashion,fraca,0.1724137931034483,0.8275862068965517,negative
fashion,super,0.9302769818529132,0.0697230181470869,positive
fashion,verde,0.4545454545454545,0.5454545454545454,negative
fashion,básicas,0.8518518518518519,0.1481481481481481,positive
fashion,fininho,0.8076923076923077,0.1923076923076923,positive
fashion,comprida,0.9142857142857144,0.0857142857142857,positive
fashion,exato,1.0,0.0,positive
fashion,básico,0.8333333333333334,0.1666666666666666,positive
fashion,longo,0.5555555555555556,0.4444444444444444,positive
fashion,apertadas,0.5833333333333334,0.4166666666666667,positive
fashion,finas,0.6296296296296297,0.3703703703703704,positive
fashion,folgada,0.7619047619047619,0.2380952380952381,positive
fashion,gostosa,0.9310344827586208,0.0689655172413793,positive
fashion,folgado,0.7906976744186046,0.2093023255813953,positive
fashion,adequada,0.7435897435897436,0.2564102564102564,positive
fashion,enorme,0.2558139534883721,0.7441860465116279,negative
fashion,maravilhosa,1.0,0.0,positive
fashion,normais,0.3333333333333333,0.6666666666666666,negative
fashion,ótimos,1.0,0.0,positive
fashion,básica,0.7962962962962963,0.2037037037037037,positive
fashion,marinho,0.6363636363636364,0.3636363636363637,positive
fashion,estranho,0.3636363636363637,0.6363636363636364,negative
fashion,curtas,0.7777777777777778,0.2222222222222222,positive
fashion,custo,0.9653893695920892,0.034610630407911,positive
fashion,interna,0.6,0.4,positive
fashion,mediana,0.6666666666666666,0.3333333333333333,positive
fashion,negativo,0.7407407407407407,0.2592592592592592,positive
fashion,transparentes,0.9444444444444444,0.0555555555555555,positive
fashion,macias,1.0,0.0,positive
fashion,real,0.7020408163265306,0.2979591836734694,positive
fashion,desproporcional,0.3,0.7,negative
fashion,insatisfeita,0.0833333333333333,0.9166666666666666,negative
fashion,barata,0.6666666666666666,0.3333333333333333,positive
fashion,áspero,0.0952380952380952,0.9047619047619048,negative
fashion,largas,0.8636363636363636,0.1363636363636363,positive
fashion,bonitos,0.9473684210526316,0.0526315789473684,positive
fashion,interno,0.7916666666666666,0.2083333333333333,positive
fashion,descosturada,0.28125,0.71875,negative
fashion,quentes,0.85,0.15,positive
fashion,fresco,0.92,0.08,positive
fashion,magro,0.7222222222222222,0.2777777777777778,positive
fashion,prático,0.9523809523809524,0.0476190476190476,positive
fashion,total,0.2229729729729729,0.777027027027027,negative
fashion,ruins,0.1578947368421052,0.8421052631578947,negative
fashion,laterais,0.625,0.375,positive
fashion,perfeitos,1.0,0.0,positive
fashion,fiscal,0.5,0.5,negative
fashion,incrível,1.0,0.0,positive
fashion,aceitável,0.45,0.55,negative
fashion,bacana,0.8421052631578947,0.1578947368421052,positive
fashion,lindos,1.0,0.0,positive
fashion,feliz,0.4318181818181818,0.5681818181818182,negative
fashion,quentinhas,1.0,0.0,positive
fashion,benefício,0.9663093415007658,0.0336906584992343,positive
fashion,correta,0.7049180327868853,0.2950819672131147,positive
fashion,fria,0.7857142857142857,0.2142857142857142,positive
fashion,impecável,0.9444444444444444,0.0555555555555555,positive
fashion,rasos,0.7368421052631579,0.2631578947368421,positive
fashion,elastano,0.65,0.35,positive
fashion,frios,0.8888888888888888,0.1111111111111111,positive
fashion,escura,0.72,0.28,positive
fashion,diário,1.0,0.0,positive
fashion,decepcionado,0.0434782608695652,0.9565217391304348,negative
fashion,meio,0.6716417910447762,0.3283582089552239,positive
fashion,sintético,0.25,0.75,negative
fashion,suave,0.9047619047619048,0.0952380952380952,positive
fashion,exelente,1.0,0.0,positive
fashion,meia,0.5051395007342144,0.4948604992657856,positive
fashion,clara,0.4848484848484849,0.5151515151515151,negative
fashion,erradas,0.1818181818181818,0.8181818181818182,negative
fashion,padrão,0.46,0.54,negative
fashion,comum,0.5333333333333333,0.4666666666666667,positive
fashion,satisfatório,0.8571428571428571,0.1428571428571428,positive
fashion,terceira,0.1428571428571428,0.8571428571428571,negative
fashion,grosseiro,0.2142857142857142,0.7857142857142857,negative
fashion,confortaveis,0.875,0.125,positive
fashion,enormes,0.0625,0.9375,negative
fashion,feminina,0.3333333333333333,0.6666666666666666,negative
fashion,rapida,0.8163265306122449,0.1836734693877551,positive
fashion,lateral,0.4444444444444444,0.5555555555555556,negative
fashion,fresca,0.85,0.15,positive
fashion,torta,0.1842105263157894,0.8157894736842105,negative
fashion,baratas,0.7692307692307693,0.2307692307692308,positive
fashion,fininha,0.9285714285714286,0.0714285714285714,positive
fashion,beneficio,0.9655172413793104,0.0344827586206896,positive
fashion,média,0.7741935483870968,0.2258064516129032,positive
fashion,impossível,0.1111111111111111,0.8888888888888888,negative
fashion,apena,0.5152671755725191,0.4847328244274809,positive
fashion,preciso,0.6190476190476191,0.3809523809523809,positive
fashion,longa,0.75,0.25,positive
fashion,próxima,0.85,0.15,positive
fashion,equivalente,0.1,0.9,negative
fashion,vermelho,0.5333333333333333,0.4666666666666667,positive
fashion,masculino,0.4666666666666667,0.5333333333333333,negative
fashion,maravilhosas,1.0,0.0,positive
fashion,boxer,0.6296296296296297,0.3703703703703704,positive
fashion,horríveis,0.0769230769230769,0.9230769230769232,negative
fashion,amei,0.9837837837837838,0.0162162162162162,positive
fashion,acessível,0.9285714285714286,0.0714285714285714,positive
fashion,resistentes,0.75,0.25,positive
fashion,condizente,0.8,0.2,positive
fashion,cheio,0.4166666666666667,0.5833333333333334,negative
fashion,tranquilo,0.9166666666666666,0.0833333333333333,positive
fashion,descartável,0.0526315789473684,0.9473684210526316,negative
fashion,corretas,0.7857142857142857,0.2142857142857142,positive
fashion,estreita,0.6428571428571429,0.3571428571428571,positive
fashion,frágeis,0.3333333333333333,0.6666666666666666,negative
fashion,segundo,0.5555555555555556,0.4444444444444444,positive
fashion,triste,0.25,0.75,negative
fashion,feito,0.8884462151394422,0.1115537848605577,positive
fashion,duro,0.2105263157894736,0.7894736842105263,negative
fashion,físicas,0.9285714285714286,0.0714285714285714,positive
fashion,atencioso,1.0,0.0,positive
fashion,soquete,0.1551724137931034,0.8448275862068966,negative
fashion,reais,0.5609756097560976,0.4390243902439024,positive
fashion,firmes,0.75,0.25,positive
fashion,positivo,0.5625,0.4375,positive
fashion,leves,0.7692307692307693,0.2307692307692308,positive
fashion,maleável,0.9166666666666666,0.0833333333333333,positive
fashion,idêntico,0.8666666666666667,0.1333333333333333,positive
fashion,regular,0.5263157894736842,0.4736842105263158,positive
fashion,frio,0.8846153846153846,0.1153846153846154,positive
fashion,confiável,0.9166666666666666,0.0833333333333333,positive
fashion,escrito,0.7333333333333333,0.2666666666666666,positive
fashion,física,0.9090909090909092,0.0909090909090909,positive
fashion,térmica,0.8,0.2,positive
fashion,estreito,0.1666666666666666,0.8333333333333334,negative
fashion,absurdo,0.1428571428571428,0.8571428571428571,negative
fashion,nova,0.7375,0.2625,positive
fashion,fresquinha,1.0,0.0,positive
fashion,mole,0.6611111111111111,0.3388888888888889,positive
fashion,altas,0.6666666666666666,0.3333333333333333,positive
fashion,curtos,0.8888888888888888,0.1111111111111111,positive
fashion,feio,0.0714285714285714,0.9285714285714286,negative
fashion,pessima,0.0,1.0,negative
fashion,tortas,0.0769230769230769,0.9230769230769232,negative
fashion,inteiro,0.7,0.3,positive
fashion,baixíssima,0.0,1.0,negative
fashion,larguinho,0.9473684210526316,0.0526315789473684,positive
fashion,gordinho,0.875,0.125,positive
fashion,interessante,0.75,0.25,positive
fashion,duráveis,1.0,0.0,positive
fashion,originais,0.5833333333333334,0.4166666666666667,positive
fashion,slim,0.6666666666666666,0.3333333333333333,positive
fashion,principal,0.75,0.25,positive
fashion,lamentável,0.0,1.0,negative
fashion,elástica,0.75,0.25,positive
fashion,vivas,1.0,0.0,positive
fashion,mega,0.9375,0.0625,positive
fashion,anteriores,1.0,0.0,positive
fashion,novo,0.7377049180327869,0.2622950819672131,positive
fashion,feminino,0.3333333333333333,0.6666666666666666,negative
fashion,fracas,0.0,1.0,negative
fashion,kkkk,0.9444444444444444,0.0555555555555555,positive
fashion,unico,1.0,0.0,positive
fashion,rapido,0.9444444444444444,0.0555555555555555,positive
fashion,descosturando,0.15,0.85,negative
fashion,feita,0.8873239436619719,0.1126760563380281,positive
fashion,usual,0.9411764705882352,0.0588235294117647,positive
fashion,semelhante,0.6666666666666666,0.3333333333333333,positive
fashion,pinica,0.6923076923076923,0.3076923076923077,positive
fashion,solto,0.4318181818181818,0.5681818181818182,negative
fashion,magra,0.8571428571428571,0.1428571428571428,positive
fashion,lisas,0.4375,0.5625,negative
fashion,otimas,1.0,0.0,positive
fashion,comprido,0.7777777777777778,0.2222222222222222,positive
fashion,íntima,0.4166666666666667,0.5833333333333334,negative
fashion,facil,0.6304347826086957,0.3695652173913043,positive
fashion,vinho,0.6578947368421053,0.3421052631578947,positive
fashion,premium,0.2,0.8,negative
fashion,eficiente,0.9090909090909092,0.0909090909090909,positive
fashion,livre,0.7272727272727273,0.2727272727272727,positive
fashion,claras,0.5,0.5,negative
fashion,social,0.8181818181818182,0.1818181818181818,positive
fashion,levinho,1.0,0.0,positive
fashion,novas,1.0,0.0,positive
fashion,obrigada,0.8787878787878788,0.1212121212121212,positive
fashion,minúsculo,0.0714285714285714,0.9285714285714286,negative
fashion,longas,0.7142857142857143,0.2857142857142857,positive
fashion,descosturado,0.2083333333333333,0.7916666666666666,negative
fashion,estiloso,0.8888888888888888,0.1111111111111111,positive
fashion,sexy,0.7272727272727273,0.2727272727272727,positive
fashion,coerente,0.75,0.25,positive
fashion,fortes,0.875,0.125,positive
fashion,fraquinho,0.2857142857142857,0.7142857142857143,negative
fashion,correspondente,0.4545454545454545,0.5454545454545454,negative
