domain,term,p_pos,p_neg,class
pets,bom,0.9700162074554296,0.0299837925445705,positive
pets,excelente,0.9962616822429906,0.0037383177570093,positive
pets,boa,0.9569471624266144,0.0430528375733855,positive
pets,ótimo,0.9928263988522238,0.0071736011477761,positive
pets,ótima,0.9907407407407408,0.0092592592592592,positive
pets,fácil,0.982078853046595,0.017921146953405,positive
pets,pequeno,0.8122605363984674,0.1877394636015325,positive
pets,resistente,0.9333333333333332,0.0666666666666666,positive
pets,rápida,0.971291866028708,0.0287081339712918,positive
pets,rápido,0.9783549783549784,0.0216450216450216,positive
pets,melhor,0.9307228915662652,0.0692771084337349,positive
pets,grande,0.8985507246376812,0.1014492753623188,positive
pets,maior,0.8840579710144928,0.1159420289855072,positive
pets,forte,0.7980769230769231,0.2019230769230769,positive
pets,pequena,0.7807017543859649,0.219298245614035,positive
pets,perfeito,0.9858156028368794,0.0141843971631205,positive
pets,confortável,0.9885057471264368,0.0114942528735632,positive
pets,prático,0.9325842696629212,0.0674157303370786,positive
pets,médio,0.8715596330275229,0.128440366972477,positive
pets,cheiroso,1.0,0.0,positive
pets,embalado,0.9130434782608696,0.0869565217391304,positive
pets,menor,0.725,0.275,positive
pets,bonito,0.9195402298850576,0.0804597701149425,positive
pets,mesmo,0.7738095238095238,0.2261904761904762,positive
pets,primeiro,0.6825396825396826,0.3174603174603174,positive
pets,frágil,0.4615384615384616,0.5384615384615384,negative
pets,otimo,0.9861111111111112,0.0138888888888888,positive
pets,fino,0.7166666666666667,0.2833333333333333,positive
pets,difícil,0.7090909090909091,0.2909090909090909,positive
pets,certo,0.9848484848484848,0.0151515151515151,positive
pets,macio,1.0,0.0,positive
pets,ideal,0.9577464788732394,0.0422535211267605,positive
pets,pequenos,0.8490566037735849,0.1509433962264151,positive
pets,ruim,0.425531914893617,0.5744680851063829,negative
pets,agradável,0.9230769230769232,0.0769230769230769,positive
pets,eficiente,0.9148936170212766,0.0851063829787234,positive
pets,maravilhoso,1.0,0.0,positive
pets,certinho,0.9818181818181818,0.0181818181818181,positive
pets,caro,0.8039215686274509,0.196078431372549,positive
pets,primeira,0.8846153846153846,0.1153846153846154,positive
pets,bonita,0.9791666666666666,0.0208333333333333,positive
pets,única,0.9,0.1,positive
pets,mesma,0.7894736842105263,0.2105263157894736,positive
pets,leve,0.903846153846154,0.0961538461538461,positive
pets,lindo,0.9830508474576272,0.0169491525423728,positive
pets,satisfeita,0.98,0.02,positive
pets,barato,0.9148936170212766,0.0851063829787234,positive
pets,único,1.0,0.0,positive
pets,grandes,0.8787878787878788,0.1212121212121212,positive
pets,satisfeito,1.0,0.0,positive
pets,linda,1.0,0.0,positive
pets,super,0.9655870445344128,0.034412955465587,positive
pets,diferente,0.5555555555555556,0.4444444444444444,positive
pets,alta,0.8358208955223879,0.1641791044776119,positive
pets,suave,0.96875,0.03125,positive
pets,útil,0.8947368421052632,0.1052631578947368,positive
pets,perfeita,1.0,0.0,positive
pets,pequenas,0.8888888888888888,0.1111111111111111,positive
pets,simples,0.8813559322033898,0.1186440677966101,positive
pets,alto,0.8571428571428571,0.1428571428571428,positive
pets,péssimo,0.032258064516129,0.967741935483871,negative
pets,saudável,1.0,0.0,positive
pets,otima,1.0,0.0,positive
pets,melhores,0.9090909090909092,0.0909090909090909,positive
pets,segura,0.8518518518518519,0.1481481481481481,positive
pets,durável,1.0,0.0,positive
pets,péssima,0.1481481481481481,0.8518518518518519,negative
pets,maiores,0.8571428571428571,0.1428571428571428,positive
pets,igual,0.945945945945946,0.054054054054054,positive
pets,tranquilo,1.0,0.0,positive
pets,premium,0.7714285714285715,0.2285714285714285,positive
pets,normal,0.7931034482758621,0.2068965517241379,positive
pets,duro,0.6181818181818182,0.3818181818181817,positive
pets,bonitinho,0.7826086956521741,0.217391304347826,positive
pets,maravilhosa,1.0,0.0,positive
pets,firme,0.8918918918918919,0.1081081081081081,positive
pets,eficaz,0.76,0.24,positive
pets,seca,0.9361702127659576,0.0638297872340425,positive
pets,limpa,0.9285714285714286,0.0714285714285714,positive
pets,fina,0.5609756097560976,0.4390243902439024,positive
pets,preciso,0.8888888888888888,0.1111111111111111,positive
pets,gostoso,0.9523809523809524,0.0476190476190476,positive
pets,rapido,1.0,0.0,positive
pets,justo,1.0,0.0,positive
pets,horrível,0.1111111111111111,0.8888888888888888,negative
pets,brilhoso,0.9642857142857144,0.0357142857142857,positive
pets,legal,0.9444444444444444,0.0555555555555555,positive
pets,inteiro,0.5,0.5,negative
pets,importante,1.0,0.0,positive
pets,fraco,0.625,0.375,positive
pets,facil,0.8629032258064516,0.1370967741935483,positive
pets,superior,0.7222222222222222,0.2777777777777778,positive
pets,macia,1.0,0.0,positive
pets,funcional,0.9166666666666666,0.0833333333333333,positive
pets,suja,0.6666666666666666,0.3333333333333333,positive
pets,higiênico,0.8947368421052632,0.1052631578947368,positive
pets,segundo,0.8275862068965517,0.1724137931034483,positive
pets,adulto,0.7419354838709677,0.2580645161290322,positive
pets,grátis,1.0,0.0,positive
pets,menores,0.9230769230769232,0.0769230769230769,positive
pets,cheio,0.7,0.3,positive
pets,baixa,0.65,0.35,positive
pets,firmes,0.8571428571428571,0.1428571428571428,positive
pets,custo,0.9915966386554622,0.0084033613445378,positive
pets,natural,0.9047619047619048,0.0952380952380952,positive
pets,espaçosa,0.9375,0.0625,positive
pets,acessível,1.0,0.0,positive
pets,pratico,1.0,0.0,positive
pets,razoável,0.875,0.125,positive
pets,ótimos,1.0,0.0,positive
pets,kkkk,0.851063829787234,0.1489361702127659,positive
pets,resistentes,1.0,0.0,positive
pets,top,1.0,0.0,positive
pets,palatável,0.9230769230769232,0.0769230769230769,positive
pets,feliz,0.5769230769230769,0.4230769230769231,positive
pets,negativo,0.8823529411764706,0.1176470588235294,positive
pets,segunda,0.9375,0.0625,positive
pets,interessante,0.8,0.2,positive
pets,macios,1.0,0.0,positive
pets,grosso,0.7692307692307693,0.2307692307692308,positive
pets,saudáveis,1.0,0.0,positive
pets,filhote,0.848,0.152,positive
pets,alemão,1.0,0.0,positive
pets,cheirosa,1.0,0.0,positive
pets,brilhante,1.0,0.0,positive
pets,limpo,0.875,0.125,positive
pets,mau,0.75,0.25,positive
pets,necessário,0.7058823529411765,0.2941176470588235,positive
pets,benefício,0.9932885906040269,0.0067114093959731,positive
pets,atrativo,0.8,0.2,positive
pets,sedoso,1.0,0.0,positive
pets,novo,0.8108108108108109,0.1891891891891892,positive
pets,fofo,1.0,0.0,positive
pets,bons,0.9090909090909092,0.0909090909090909,positive
pets,chato,0.9166666666666666,0.0833333333333333,positive
pets,seguro,1.0,0.0,positive
pets,baixo,0.7884615384615384,0.2115384615384615,positive
pets,prime,0.8205128205128205,0.1794871794871795,positive
pets,tzu,0.8852459016393442,0.1147540983606557,positive
pets,larga,0.6923076923076923,0.3076923076923077,positive
pets,adultos,0.6923076923076923,0.3076923076923077,positive
pets,claro,0.8666666666666667,0.1333333333333333,positive
pets,incrível,1.0,0.0,positive
pets,meio,0.9444444444444444,0.0555555555555555,positive
pets,grossa,0.9285714285714286,0.0714285714285714,positive
pets,feito,0.8970099667774086,0.1029900332225913,positive
pets,rapida,0.9210526315789472,0.0789473684210526,positive
pets,certa,0.9310344827586208,0.0689655172413793,positive
pets,bonitinha,1.0,0.0,positive
pets,enorme,0.7692307692307693,0.2307692307692308,positive
pets,anti,0.9205298013245032,0.0794701986754966,positive
pets,fixa,0.7222222222222222,0.2777777777777778,positive
pets,correto,0.8181818181818182,0.1818181818181818,positive
pets,cheirosos,1.0,0.0,positive
pets,absorvente,0.7777777777777778,0.2222222222222222,positive
pets,kkkkk,0.8095238095238095,0.1904761904761904,positive
pets,boas,0.9090909090909092,0.0909090909090909,positive
pets,inteira,0.8181818181818182,0.1818181818181818,positive
pets,mini,0.7368421052631579,0.2631578947368421,positive
pets,azul,0.9,0.1,positive
pets,biodegradável,1.0,0.0,positive
pets,impecável,1.0,0.0,positive
pets,inferior,0.6666666666666666,0.3333333333333333,positive
pets,diferentes,0.9230769230769232,0.0769230769230769,positive
pets,frágeis,0.8888888888888888,0.1111111111111111,positive
pets,possível,0.6875,0.3125,positive
pets,acabado,0.8181818181818182,0.1818181818181818,positive
pets,branquinho,1.0,0.0,positive
pets,excepcional,1.0,0.0,positive
pets,fininho,0.5454545454545454,0.4545454545454545,positive
pets,bacana,0.8888888888888888,0.1111111111111111,positive
pets,favorito,1.0,0.0,positive
pets,nova,0.967741935483871,0.032258064516129,positive
pets,quente,0.8571428571428571,0.1428571428571428,positive
pets,dura,0.8873239436619719,0.1126760563380281,positive
pets,quentinho,1.0,0.0,positive
pets,silencioso,0.8571428571428571,0.1428571428571428,positive
pets,fraca,0.625,0.375,positive
pets,perfeitas,1.0,0.0,positive
pets,plástico,0.7323943661971831,0.2676056338028169,positive
pets,descartável,0.875,0.125,positive
pets,longo,0.9285714285714286,0.0714285714285714,positive
pets,mal,0.6942675159235668,0.3057324840764331,positive
pets,suficiente,0.96,0.04,positive
pets,original,0.9090909090909092,0.0909090909090909,positive
pets,nutritiva,1.0,0.0,positive
pets,duradouro,1.0,0.0,positive
pets,adesiva,0.8571428571428571,0.1428571428571428,positive
pets,brilhantes,1.0,0.0,positive
pets,saborosa,1.0,0.0,positive
pets,comum,0.8571428571428571,0.1428571428571428,positive
pets,seguinte,0.9,0.1,positive
pets,perfeitos,1.0,0.0,positive
pets,longa,0.9,0.1,positive
pets,enganosa,0.0,1.0,negative
pets,barata,0.7272727272727273,0.2727272727272727,positive
pets,fofinho,1.0,0.0,positive
pets,espaçoso,1.0,0.0,positive
pets,artificiais,1.0,0.0,positive
pets,real,0.9205298013245032,0.0794701986754966,positive
pets,disponível,0.875,0.125,positive
pets,direto,0.9090909090909092,0.0909090909090909,positive
pets,absurdo,0.2857142857142857,0.7142857142857143,negative
pets,descartáveis,0.8888888888888888,0.1111111111111111,positive
pets,adequado,0.875,0.125,positive
pets,impossível,0.3333333333333333,0.6666666666666666,negative
pets,interna,0.75,0.25,positive
pets,seco,0.875,0.125,positive
pets,idosa,1.0,0.0,positive
pets,silenciosa,1.0,0.0,positive
pets,pior,0.1428571428571428,0.8571428571428571,negative
pets,sanitário,0.8888888888888888,0.1111111111111111,positive
pets,anterior,0.8,0.2,positive
pets,solto,0.7,0.3,positive
pets,curto,0.8333333333333334,0.1666666666666666,positive
pets,geral,0.9090909090909092,0.0909090909090909,positive
pets,curta,0.75,0.25,positive
pets,idosos,1.0,0.0,positive
pets,preto,0.8,0.2,positive
pets,fresca,1.0,0.0,positive
