domain,term,p_pos,p_neg,class
toys,bom,0.975023651844844,0.0249763481551561,positive
toys,excelente,0.9957757296466974,0.0042242703533026,positive
toys,ótimo,0.9921852387843704,0.0078147612156295,positive
toys,boa,0.9510771992818672,0.0489228007181328,positive
toys,ótima,0.9886431560071728,0.0113568439928272,positive
toys,fácil,0.9607312119160458,0.0392687880839539,positive
toys,divertido,0.9926948051948052,0.0073051948051948,positive
toys,rápido,0.962280701754386,0.037719298245614,positive
toys,rápida,0.9845857418111752,0.0154142581888246,positive
toys,perfeito,0.9879421221864952,0.0120578778135048,positive
toys,legal,0.9671746776084408,0.0328253223915592,positive
toys,resistente,0.9700996677740864,0.0299003322259136,positive
toys,bonito,0.9557867360208062,0.0442132639791937,positive
toys,lindo,0.9776304888152444,0.0223695111847555,positive
toys,pequenas,0.7831094049904029,0.2168905950095969,positive
toys,melhor,0.8962162162162162,0.1037837837837837,positive
toys,simples,0.8914209115281502,0.1085790884718498,positive
toys,pequeno,0.7766116941529235,0.2233883058470764,positive
toys,frágil,0.4918478260869565,0.5081521739130435,negative
toys,maior,0.8425760286225402,0.1574239713774597,positive
toys,linda,0.9767699115044248,0.0232300884955752,positive
toys,grande,0.9197952218430034,0.0802047781569965,positive
toys,embalado,0.9714714714714716,0.0285285285285285,positive
toys,maravilhoso,0.9901719901719902,0.0098280098280098,positive
toys,lindas,0.9925373134328358,0.0074626865671641,positive
toys,ruim,0.3557046979865772,0.6442953020134228,negative
toys,difícil,0.815625,0.184375,positive
toys,interessante,0.952802359882006,0.0471976401179941,positive
toys,pequena,0.7947712418300653,0.2052287581699346,positive
toys,presente,0.8936550491510277,0.1063449508489723,positive
toys,certinho,0.9896551724137932,0.0103448275862068,positive
toys,igual,0.9118773946360154,0.0881226053639846,positive
toys,certo,0.9379844961240308,0.0620155038759689,positive
toys,diferente,0.7633802816901408,0.2366197183098591,positive
toys,mesmo,0.8031704095112285,0.1968295904887714,positive
toys,boas,0.9514563106796116,0.0485436893203883,positive
toys,bonita,0.9654255319148936,0.0345744680851063,positive
toys,vivas,0.9696969696969696,0.0303030303030303,positive
toys,original,0.8506787330316742,0.1493212669683258,positive
toys,menor,0.847682119205298,0.152317880794702,positive
toys,grandes,0.9615384615384616,0.0384615384615384,positive
toys,péssima,0.0290697674418604,0.9709302325581396,negative
toys,otimo,0.9963503649635036,0.0036496350364963,positive
toys,ideal,0.9757085020242916,0.0242914979757085,positive
toys,ótimas,0.9945652173913044,0.0054347826086956,positive
toys,barato,0.8324324324324325,0.1675675675675675,positive
toys,caro,0.7529411764705882,0.2470588235294117,positive
toys,forte,0.9056603773584906,0.0943396226415094,positive
toys,macio,0.9610389610389608,0.0389610389610389,positive
toys,perfeita,0.9813874788494078,0.0186125211505922,positive
toys,bonitas,0.9751552795031057,0.0248447204968944,positive
toys,leve,0.9128787878787878,0.0871212121212121,positive
toys,único,0.968944099378882,0.031055900621118,positive
toys,prático,0.9818181818181818,0.0181818181818181,positive
toys,incrível,0.9821428571428572,0.0178571428571428,positive
toys,primeira,0.735,0.265,positive
toys,perfeitas,0.993975903614458,0.0060240963855421,positive
toys,pequenos,0.915,0.085,positive
toys,educativo,0.994475138121547,0.005524861878453,positive
toys,seguro,0.948051948051948,0.0519480519480519,positive
toys,única,0.8814814814814815,0.1185185185185185,positive
toys,feliz,0.6899441340782123,0.3100558659217877,positive
toys,melhores,0.9493670886075948,0.050632911392405,positive
toys,fino,0.5333333333333333,0.4666666666666667,positive
toys,primeiro,0.7235294117647059,0.2764705882352941,positive
toys,baixa,0.3706293706293706,0.6293706293706294,negative
toys,feito,0.9101234567901234,0.0898765432098765,positive
toys,macia,0.9725274725274724,0.0274725274725274,positive
toys,bacana,0.952054794520548,0.047945205479452,positive
toys,diferentes,0.9090909090909092,0.0909090909090909,positive
toys,maiores,0.8852459016393442,0.1147540983606557,positive
toys,péssimo,0.0359712230215827,0.9640287769784172,negative
toys,fina,0.8529411764705882,0.1470588235294117,positive
toys,resistentes,0.9842519685039368,0.0157480314960629,positive
toys,confortável,0.9696969696969696,0.0303030303030303,positive
toys,satisfeita,0.9076923076923076,0.0923076923076923,positive
toys,útil,0.9465648854961832,0.0534351145038167,positive
toys,durável,0.9482758620689656,0.0517241379310344,positive
toys,alto,0.8264840182648402,0.1735159817351598,positive
toys,colorido,0.964968152866242,0.0350318471337579,positive
toys,menores,0.8983050847457628,0.1016949152542373,positive
toys,mesma,0.7664233576642335,0.2335766423357664,positive
toys,completo,0.8195488721804511,0.1804511278195488,positive
toys,vibrantes,0.9821428571428572,0.0178571428571428,positive
toys,otima,0.9917355371900828,0.0082644628099173,positive
toys,facil,0.8596112311015118,0.1403887688984881,positive
toys,bons,0.9479166666666666,0.0520833333333333,positive
toys,satisfeito,0.9555555555555556,0.0444444444444444,positive
toys,super,0.9626701800614844,0.0373298199385155,positive
toys,fofo,0.991150442477876,0.0088495575221238,positive
toys,ótimos,0.9782608695652174,0.0217391304347826,positive
toys,fraco,0.3703703703703704,0.6296296296296297,negative
toys,fáceis,0.9565217391304348,0.0434782608695652,positive
toys,acabado,0.8699186991869918,0.1300813008130081,positive
toys,firme,0.8705035971223022,0.1294964028776978,positive
toys,possível,0.6533333333333333,0.3466666666666667,positive
toys,azul,0.7171717171717171,0.2828282828282828,positive
toys,baixo,0.7108433734939759,0.2891566265060241,positive
toys,quebra,0.7482078853046595,0.2517921146953405,positive
toys,horrível,0.0625,0.9375,negative
toys,alta,0.5606694560669456,0.4393305439330544,positive
toys,legais,0.9493670886075948,0.050632911392405,positive
toys,impecável,0.9875,0.0125,positive
toys,inferior,0.4375,0.5625,negative
toys,negativo,0.9404761904761904,0.0595238095238095,positive
toys,top,0.9763313609467456,0.0236686390532544,positive
toys,sensacional,1.0,0.0,positive
toys,lindos,0.9921875,0.0078125,positive
toys,interativo,0.9863013698630136,0.0136986301369863,positive
toys,garantida,1.0,0.0,positive
toys,frágeis,0.6818181818181818,0.3181818181818182,positive
toys,mole,0.5977011494252874,0.4022988505747127,positive
toys,bonitinho,0.9,0.1,positive
toys,gostoso,1.0,0.0,positive
toys,excelentes,0.986842105263158,0.0131578947368421,positive
toys,grosso,0.8690476190476191,0.1309523809523809,positive
toys,dura,0.8774928774928775,0.1225071225071225,positive
toys,impossível,0.4477611940298508,0.5522388059701493,negative
toys,maravilhosa,0.9872611464968152,0.0127388535031847,positive
toys,rapido,0.9361702127659576,0.0638297872340425,positive
toys,duro,0.6707317073170732,0.3292682926829268,positive
toys,didático,0.9565217391304348,0.0434782608695652,positive
toys,motora,0.9375,0.0625,positive
toys,desafiador,0.9615384615384616,0.0384615384615384,positive
toys,rapida,0.9478260869565216,0.0521739130434782,positive
toys,completa,0.7171052631578947,0.2828947368421052,positive
toys,finas,0.7678571428571429,0.2321428571428571,positive
toys,novas,0.9473684210526316,0.0526315789473684,positive
toys,meio,0.8951310861423221,0.1048689138576779,positive
toys,justo,0.921875,0.078125,positive
toys,dinâmico,0.9682539682539684,0.0317460317460317,positive
toys,maravilhosas,1.0,0.0,positive
toys,necessário,0.8309859154929577,0.1690140845070422,positive
toys,sozinho,0.8875,0.1125,positive
