domain,term,p_pos,p_neg,class
laptops,bom,0.9468822170900691,0.053117782909930716,positive
laptops,rápido,0.9579288025889968,0.042071197411003236,positive
laptops,excelente,0.9839357429718876,0.01606425702811245,positive
laptops,ótimo,0.9917355371900828,0.008264462809917356,positive
laptops,lento,0.3114186851211073,0.6885813148788927,negative
laptops,leve,0.9602803738317756,0.0397196261682243,positive
laptops,boa,0.904,0.096,positive
laptops,bonito,0.9460784313725491,0.05392156862745098,positive
laptops,ótima,0.981132075471698,0.018867924528301886,positive
laptops,rápida,0.9659863945578232,0.034013605442176874,positive
laptops,perfeito,0.9887005649717514,0.011299435028248588,positive
laptops,melhor,0.8414096916299559,0.15859030837004404,positive
laptops,simples,0.6903225806451613,0.3096774193548387,positive
laptops,fácil,0.9801980198019802,0.0198019801980198,positive
laptops,básicas,0.7875,0.2125,positive
laptops,ruim,0.4788732394366197,0.5211267605633803,negative
laptops,mesmo,0.6318181818181818,0.36818181818181817,positive
laptops,prático,0.96,0.04,positive
laptops,fino,0.9594594594594594,0.040540540540540536,positive
laptops,lindo,0.9298245614035088,0.07017543859649122,positive
laptops,satisfeita,0.951219512195122,0.04878048780487805,positive
laptops,básico,0.8804347826086957,0.11956521739130435,positive
laptops,péssimo,0.078125,0.921875,negative
laptops,grande,0.8928571428571429,0.10714285714285714,positive
laptops,online,0.925925925925926,0.07407407407407407,positive
laptops,satisfeito,0.9193548387096774,0.08064516129032258,positive
laptops,maravilhoso,0.9803921568627452,0.0196078431372549,positive
laptops,eficiente,0.9166666666666666,0.08333333333333333,positive
laptops,único,0.9565217391304348,0.043478260869565216,positive
laptops,preciso,0.7457627118644068,0.2542372881355932,positive
laptops,pequeno,0.9545454545454546,0.045454545454545456,positive
laptops,única,0.9111111111111112,0.08888888888888889,positive
laptops,horrível,0.08888888888888889,0.9111111111111112,negative
laptops,novo,0.6324786324786325,0.3675213675213676,positive
laptops,embalado,0.9848484848484848,0.015151515151515154,positive
laptops,otimo,0.98,0.02,positive
laptops,caro,0.7272727272727273,0.2727272727272727,positive
laptops,leves,0.9428571428571428,0.057142857142857134,positive
laptops,operacional,0.7428571428571429,0.2571428571428571,positive
laptops,incrível,0.9722222222222222,0.027777777777777776,positive
laptops,primeiro,0.325,0.675,negative
laptops,super,0.9492957746478872,0.05070422535211268,positive
laptops,primeira,0.7551020408163265,0.24489795918367346,positive
laptops,maior,0.8863636363636364,0.11363636363636365,positive
laptops,possível,0.5434782608695652,0.4565217391304348,positive
laptops,frágil,0.7407407407407407,0.25925925925925924,positive
laptops,necessário,0.8648648648648649,0.13513513513513514,positive
laptops,doméstico,0.8965517241379308,0.10344827586206896,positive
laptops,ideal,1.0,0.0,positive
laptops,portátil,0.967741935483871,0.03225806451612903,positive
laptops,office,0.8780487804878049,0.12195121951219512,positive
laptops,técnica,0.2608695652173913,0.7391304347826086,negative
laptops,alto,0.7941176470588235,0.2058823529411765,positive
laptops,certo,0.7058823529411765,0.29411764705882354,positive
laptops,péssima,0.15384615384615385,0.8461538461538461,negative
laptops,confortável,0.925925925925926,0.07407407407407407,positive
laptops,feliz,0.5,0.5,negative
laptops,rapido,0.9,0.1,positive
laptops,barato,0.84,0.16,positive
laptops,top,0.875,0.125,positive
laptops,pior,0.08823529411764706,0.9117647058823528,negative
laptops,certinho,1.0,0.0,positive
laptops,funcional,0.9230769230769232,0.07692307692307693,positive
laptops,útil,0.875,0.125,positive
laptops,geral,0.9615384615384616,0.038461538461538464,positive
laptops,compacto,1.0,0.0,positive
laptops,antigo,0.5862068965517241,0.4137931034482759,positive
laptops,normal,0.6578947368421053,0.34210526315789475,positive
laptops,mesma,0.7391304347826086,0.2608695652173913,positive
laptops,baixo,0.8095238095238095,0.19047619047619047,positive
